Team,GP2022,TotalWins,TotalLosses,RegSeasonPct,Division
San Antonio Spurs,3703,2261,1442,0.611,Southwest
Los Angeles Lakers,5840,3460,2380,0.592,Pacific
Boston Celtics,5950,3513,2437,0.59,Atlantic
Utah Jazz,3868,2109,1759,0.545,Northwest
Phoenix Suns,4361,2335,2026,0.535,Pacific
Portland Trail Blazers,4198,2238,1960,0.533,Northwest
Oklahoma City Thunder,4442,2373,2069,0.534,Northwest
Miami Heat,2721,1431,1290,0.526,Southeast
Milwaukee Bucks,4361,2282,2079,0.523,Central
Philadelphia 76ers,5777,3000,2777,0.519,Atlantic
Houston Rockets,4442,2306,2136,0.519,Southeast
Chicago Bulls,4516,2304,2212,0.511,Central
Dallas Mavericks,3379,1709,1670,0.506,Southwest
Indiana Pacers,3704,1848,1856,0.499,Central
Denver Nuggets,3705,1844,1861,0.498,Northwest
Atlanta Hawks,5773,2850,2923,0.494,Southeast
Golden State Warriors,5939,2879,3060,0.485,Pacific
New York Knicks,5941,2877,3064,0.484,Atlantic
Toronto Raptors,2146,1030,1116,0.48,Atlantic
Detroit Pistons,5834,2796,3038,0.479,Central
Orlando Magic,2639,1234,1405,0.468,Southwest
Cleveland Cavaliers,4189,1933,2256,0.461,Central
New Orleans Pelicans,1604,740,864,0.461,Southwest
Sacramento Kings,5841,2654,3187,0.454,Pacific
Washington Wizards,4923,2222,2701,0.451,Southwest
Charlotte Hornets,2549,1126,1423,0.442,Southwest
Memphis Grizzlies,2147,920,1227,0.429,Southwest
Brooklyn Nets,3704,1577,2127,0.426,Atlantic
Los Angeles Clippers,4196,1748,2448,0.417,Pacific
Minnesota Timberwolves,2630,1049,1581,0.399,Northwest
