Team,Win,Loss,Apps,Pct
Los Angeles Lakers[i],17.0,15.0,32.0,0.531
Boston Celtics,17.0,5.0,22.0,0.773
Golden State Warriors[ii],7.0,5.0,12.0,0.583
Chicago Bulls,6.0,0.0,6.0,1.0
San Antonio Spurs,5.0,1.0,6.0,0.833
Philadelphia 76ers[iii],3.0,6.0,9.0,0.333
Detroit Pistons[iv],3.0,4.0,7.0,0.429
Miami Heat,3.0,3.0,6.0,0.5
New York Knicks,2.0,6.0,8.0,0.25
Houston Rockets,2.0,2.0,4.0,0.5
Milwaukee Bucks,2.0,1.0,3.0,0.667
Cleveland Cavaliers,1.0,4.0,5.0,0.2
Atlanta Hawks[v],1.0,3.0,4.0,0.25
Washington Wizards[vi],1.0,3.0,4.0,0.25
Oklahoma City Thunder[vii],1.0,3.0,4.0,0.25
Portland Trail Blazers,1.0,2.0,3.0,0.333
Dallas Mavericks,1.0,1.0,2.0,0.5
Baltimore Bullets (original) (folded in 1954)[viii],1.0,0.0,1.0,1.0
Sacramento Kings[ix],1.0,0.0,1.0,1.0
Toronto Raptors,1.0,0.0,1.0,1.0
Phoenix Suns,0.0,3.0,3.0,0.0
Utah Jazz,0.0,2.0,2.0,0.0
Brooklyn Nets[x],0.0,2.0,2.0,0.0
Orlando Magic,0.0,2.0,2.0,0.0
Chicago Stags (folded in 1950),0.0,1.0,1.0,0.0
Washington Capitols (folded in 1951),0.0,1.0,1.0,0.0
Indiana Pacers,0.0,1.0,1.0,0.0
Charlotte Hornets,,,,
Denver Nuggets,,,,
Los Angeles Clippers,,,,
Memphis Grizzlies,,,,
Minnesota Timberwolves,,,,
New Orleans Pelicans,,,,
